seq,event_time,from,to,amount_minor
52,2026-08-01T09:34:00Z,c050,c089,3988
53,2026-08-01T09:39:00Z,c098,c172,6458
54,2026-08-01T09:45:00Z,c107,m038,3630
55,2026-08-01T09:49:00Z,c141,c043,1890
56,2026-08-01T09:52:00Z,c103,m026,1004
57,2026-08-01T09:52:00Z,c133,m023,1181
58,2026-08-01T09:55:00Z,c013,m014,39744
59,2026-08-01T10:00:00Z,c031,c103,3002
60,2026-08-01T10:03:00Z,c031,m026,3045
61,2026-08-01T10:06:00Z,c031,m026,4803
62,2026-08-01T10:06:00Z,c120,m009,6806
63,2026-08-01T10:09:00Z,c031,c103,3682
64,2026-08-01T10:09:00Z,c078,c171,5735
65,2026-08-01T10:10:00Z,c006,m038,11397
66,2026-08-01T10:11:00Z,c171,m031,15976
67,2026-08-01T10:12:00Z,c137,m038,4862
68,2026-08-01T10:13:00Z,c006,m002,12889
69,2026-08-01T10:15:00Z,c076,m010,11724
70,2026-08-01T10:15:00Z,c122,m018,7310
71,2026-08-01T10:18:00Z,c006,m023,8933
72,2026-08-01T10:19:00Z,c006,c026,9614
73,2026-08-01T10:21:00Z,c119,c128,1245
74,2026-08-01T10:24:00Z,c071,m023,4352
75,2026-08-01T10:26:00Z,c139,m007,19954
76,2026-08-01T10:29:00Z,c005,c076,3456
77,2026-08-01T10:30:00Z,c098,m021,6449
78,2026-08-01T10:33:00Z,c066,c125,4459
79,2026-08-01T10:36:00Z,c043,m014,11201
80,2026-08-01T10:38:00Z,c021,c012,36682
81,2026-08-01T10:41:00Z,c107,m038,1070
82,2026-08-01T10:45:00Z,c004,m028,1414
83,2026-08-01T10:46:00Z,c029,m019,4183
84,2026-08-01T10:47:00Z,c002,m038,11732
85,2026-08-01T10:47:00Z,c089,m009,13476
86,2026-08-01T10:48:00Z,c021,c158,10341
87,2026-08-01T10:53:00Z,c090,m020,40379
88,2026-08-01T10:59:00Z,c067,m032,2626
89,2026-08-01T11:05:00Z,c103,m029,850
90,2026-08-01T11:06:00Z,c002,m026,12857
91,2026-08-01T11:06:00Z,c067,m019,1355
92,2026-08-01T11:06:00Z,c159,c163,1425
93,2026-08-01T11:06:00Z,c168,c108,19680
94,2026-08-01T11:09:00Z,c092,m005,1140
95,2026-08-01T11:11:00Z,c040,c039,10844
96,2026-08-01T11:11:00Z,c089,c125,7707
97,2026-08-01T11:12:00Z,c159,c070,1963
98,2026-08-01T11:17:00Z,c098,m021,5070
99,2026-08-01T11:22:00Z,c050,m030,3732
100,2026-08-01T11:29:00Z,c101,m028,9546
101,2026-08-01T11:30:00Z,c151,c017,1273
102,2026-08-01T11:33:00Z,c120,m014,7912
103,2026-08-01T11:36:00Z,c027,c126,1726
104,2026-08-01T11:38:00Z,c000,m036,18037
105,2026-08-01T11:38:00Z,c078,m001,1705
106,2026-08-01T11:38:00Z,c103,m025,2015
107,2026-08-01T11:41:00Z,c005,m029,5457
108,2026-08-01T11:46:00Z,c066,m023,9175
109,2026-08-01T11:52:00Z,c153,m015,22146
110,2026-08-01T11:54:00Z,c052,m029,6708
111,2026-08-01T12:00:00Z,c159,m034,2379
112,2026-08-01T12:02:00Z,c041,m036,5677
113,2026-08-01T12:03:00Z,c111,m008,10907
114,2026-08-01T12:06:00Z,c029,m019,3056
115,2026-08-01T12:12:00Z,c002,c048,4663
116,2026-08-01T12:13:00Z,c064,m011,3004
117,2026-08-01T12:15:00Z,c016,c177,7298
118,2026-08-01T12:19:00Z,c078,m001,2128
119,2026-08-01T12:23:00Z,c114,m034,27422
120,2026-08-01T12:25:00Z,c139,m028,21061
121,2026-08-01T12:29:00Z,c104,m003,22254
122,2026-08-01T12:34:00Z,c034,m018,12221
123,2026-08-01T12:34:00Z,c122,m031,8791
124,2026-08-01T12:44:00Z,c005,m029,6518
125,2026-08-01T12:48:00Z,c081,m024,3909
126,2026-08-01T12:51:00Z,c008,m005,5961
127,2026-08-01T12:53:00Z,c104,m010,8376
128,2026-08-01T12:53:00Z,c158,m033,2481
129,2026-08-01T12:59:00Z,c035,m011,1890
130,2026-08-01T13:00:00Z,c069,m006,823
131,2026-08-01T13:01:00Z,c120,c078,23774
132,2026-08-01T13:06:00Z,c041,m036,3190
133,2026-08-01T13:11:00Z,c041,m017,1579
134,2026-08-01T13:16:00Z,c029,c178,3749
135,2026-08-01T13:18:00Z,c039,m036,6118
136,2026-08-01T13:19:00Z,c074,m021,6417
137,2026-08-01T13:19:00Z,c122,m034,6204
138,2026-08-01T13:21:00Z,c177,m009,2205
139,2026-08-01T13:22:00Z,c134,c101,12727
140,2026-08-01T13:29:00Z,c108,m026,1855
141,2026-08-01T13:40:00Z,c056,m003,7972
142,2026-08-01T13:41:00Z,c108,m021,2877
143,2026-08-01T13:41:00Z,c110,m028,12507
144,2026-08-01T13:49:00Z,c116,m036,2112
145,2026-08-01T13:51:00Z,c022,m035,2396
146,2026-08-01T13:53:00Z,c168,c108,26342
147,2026-08-01T13:54:00Z,c104,m003,240000
148,2026-08-01T13:59:00Z,c092,c176,50000
149,2026-08-01T14:01:00Z,c085,m023,931
150,2026-08-01T14:01:00Z,c165,m008,2550
151,2026-08-01T14:03:00Z,c143,c121,1511
152,2026-08-01T14:05:00Z,c017,m016,22679
153,2026-08-01T14:08:00Z,c059,m027,8641
154,2026-08-01T14:08:00Z,c168,c108,12680
155,2026-08-01T14:14:00Z,c136,m035,14359
156,2026-08-01T14:16:00Z,c002,m014,3827
157,2026-08-01T14:18:00Z,c113,c011,1454
158,2026-08-01T14:19:00Z,c134,m037,16122
159,2026-08-01T14:23:00Z,c074,c010,4995
160,2026-08-01T14:26:00Z,c150,m028,15222
161,2026-08-01T14:28:00Z,c000,c018,33125
162,2026-08-01T14:29:00Z,c064,m015,7037
163,2026-08-01T14:34:00Z,c004,m028,1543
164,2026-08-01T14:35:00Z,c092,c176,1631
165,2026-08-01T14:39:00Z,c019,m012,49078
166,2026-08-01T14:41:00Z,c061,m026,14797
167,2026-08-01T14:42:00Z,c029,m037,3000
168,2026-08-01T14:43:00Z,c081,m030,1772
169,2026-08-01T14:44:00Z,c029,c178,2461
170,2026-08-01T14:53:00Z,c035,m011,1037
171,2026-08-01T14:55:00Z,c067,m037,547
172,2026-08-01T15:00:00Z,c023,m038,1736
173,2026-08-01T15:05:00Z,c094,c128,23165
174,2026-08-01T15:09:00Z,c094,m038,14027
175,2026-08-01T15:11:00Z,c094,m032,12520
176,2026-08-01T15:13:00Z,c148,m032,15736
177,2026-08-01T15:14:00Z,c145,m005,3587
178,2026-08-01T15:17:00Z,c156,m022,22990
179,2026-08-01T15:20:00Z,c094,m032,17595
180,2026-08-01T15:21:00Z,c041,m000,3032
181,2026-08-01T15:22:00Z,c051,m032,5984
182,2026-08-01T15:23:00Z,c028,m005,2481
183,2026-08-01T15:30:00Z,c140,c157,2441
184,2026-08-01T15:30:00Z,c156,c045,22745
185,2026-08-01T15:33:00Z,c033,m006,1036
186,2026-08-01T15:35:00Z,c044,c147,8304
187,2026-08-01T15:40:00Z,c112,m032,3407
188,2026-08-01T15:40:00Z,c122,m031,4558
189,2026-08-01T15:40:00Z,c136,m003,9204
190,2026-08-01T15:43:00Z,c018,m026,28864
191,2026-08-01T15:45:00Z,c020,c058,17634
192,2026-08-01T15:47:00Z,c130,m033,6535
193,2026-08-01T15:48:00Z,c082,m008,24789
194,2026-08-01T15:48:00Z,c106,c055,9428
195,2026-08-01T15:52:00Z,c026,m038,2750
196,2026-08-01T15:58:00Z,c108,c095,2845
197,2026-08-01T16:01:00Z,c175,m018,746
198,2026-08-01T16:02:00Z,c000,c039,22638
199,2026-08-01T16:05:00Z,c108,m035,4007
200,2026-08-01T16:12:00Z,c046,m009,3649
201,2026-08-01T16:13:00Z,c160,m034,14404
202,2026-08-01T16:15:00Z,c149,m022,983
203,2026-08-01T16:26:00Z,c012,c171,873
204,2026-08-01T16:31:00Z,c102,m028,5168
205,2026-08-01T16:33:00Z,c140,m013,2488
206,2026-08-01T16:34:00Z,c157,m000,4796
207,2026-08-01T16:37:00Z,c102,c151,4615
208,2026-08-01T16:39:00Z,c102,m011,11667
209,2026-08-01T16:43:00Z,c082,m026,400000
210,2026-08-01T16:43:00Z,c154,m037,7137
211,2026-08-01T16:44:00Z,c024,c044,5854
212,2026-08-01T16:46:00Z,c000,m039,16744
213,2026-08-01T16:47:00Z,c023,m038,2740
214,2026-08-01T16:52:00Z,c028,m037,784
215,2026-08-01T16:53:00Z,c048,m006,7099
216,2026-08-01T17:01:00Z,c047,m020,11379
217,2026-08-01T17:03:00Z,c116,m022,1963
218,2026-08-01T17:09:00Z,c000,m027,27350
219,2026-08-01T17:11:00Z,c024,m010,2352
220,2026-08-01T17:15:00Z,c083,m012,2242
221,2026-08-01T17:22:00Z,c160,c153,6158
222,2026-08-01T17:24:00Z,c003,m032,1239
223,2026-08-01T17:24:00Z,c080,m034,4222
224,2026-08-01T17:28:00Z,c080,m036,3894
225,2026-08-01T17:33:00Z,c136,m035,11460
226,2026-08-01T17:36:00Z,c080,c151,1983
227,2026-08-01T17:36:00Z,c080,m036,2798
228,2026-08-01T17:37:00Z,c072,m015,6582
229,2026-08-01T17:37:00Z,c084,m028,13594
230,2026-08-01T17:39:00Z,c084,m004,8154
231,2026-08-01T17:41:00Z,c082,m009,9680
232,2026-08-01T17:42:00Z,c175,m018,1801
233,2026-08-01T17:47:00Z,c084,m037,11645
234,2026-08-01T17:47:00Z,c175,m000,1036
235,2026-08-01T17:50:00Z,c012,c153,1388
236,2026-08-01T17:54:00Z,c140,m013,4924
237,2026-08-01T17:58:00Z,c167,m036,24310
238,2026-08-01T17:59:00Z,c136,m026,14391
239,2026-08-01T18:00:00Z,c108,c095,60000
240,2026-08-01T18:00:00Z,c114,m034,24945
241,2026-08-01T18:02:00Z,c062,m004,12840
242,2026-08-01T18:03:00Z,c007,m036,10929
243,2026-08-01T18:07:00Z,c047,c065,4089
244,2026-08-01T18:07:00Z,c136,c120,11228
245,2026-08-01T18:08:00Z,c167,c133,14098
246,2026-08-01T18:11:00Z,c130,m001,24698
247,2026-08-01T18:13:00Z,c142,c075,15048
248,2026-08-01T18:15:00Z,c044,m033,3580
249,2026-08-01T18:18:00Z,c167,m026,9911
250,2026-08-01T18:25:00Z,c160,c153,14878
251,2026-08-01T18:31:00Z,c007,m002,26496
252,2026-08-01T18:36:00Z,c146,m008,21310
253,2026-08-01T18:38:00Z,c148,c098,23387
254,2026-08-01T18:39:00Z,c054,m010,3253
255,2026-08-01T18:59:00Z,c036,m032,9909
256,2026-08-01T19:00:00Z,c112,m005,7049
257,2026-08-01T19:02:00Z,c051,m032,8193
258,2026-08-01T19:02:00Z,c160,m034,11771
259,2026-08-01T19:21:00Z,c160,m011,13068
260,2026-08-01T19:28:00Z,c175,c009,953
261,2026-08-01T19:29:00Z,c156,c045,7973
262,2026-08-01T19:32:00Z,c096,c037,29571
263,2026-08-01T19:33:00Z,c156,m022,16866
264,2026-08-01T19:39:00Z,c160,m034,17363
265,2026-08-01T19:40:00Z,c025,m022,26166
266,2026-08-01T19:45:00Z,c118,c086,2311
267,2026-08-01T19:51:00Z,c156,c045,18637
268,2026-08-01T19:52:00Z,c128,m014,709
269,2026-08-01T19:54:00Z,c140,m013,4998
270,2026-08-01T19:59:00Z,c091,m021,7540
271,2026-08-01T20:03:00Z,c130,m025,19048
272,2026-08-01T20:03:00Z,c147,c112,21610
273,2026-08-01T20:07:00Z,c147,m021,17245
274,2026-08-01T20:07:00Z,c147,m030,10817
275,2026-08-01T20:09:00Z,c055,c162,1734
276,2026-08-01T20:12:00Z,c147,m002,27801
277,2026-08-01T20:19:00Z,c147,m032,22573
278,2026-08-01T20:24:00Z,c140,m009,6051
279,2026-08-01T20:25:00Z,c176,c064,13011
280,2026-08-01T20:27:00Z,c077,m035,30275
281,2026-08-01T20:34:00Z,c062,m011,25851
282,2026-08-01T20:37:00Z,c118,m009,1409
283,2026-08-01T20:39:00Z,c118,m027,1007
284,2026-08-01T20:49:00Z,c018,m022,38790
285,2026-08-01T21:11:00Z,c173,m012,3295
286,2026-08-01T21:29:00Z,c173,m012,8535
287,2026-08-01T21:32:00Z,c049,m015,2943
288,2026-08-01T21:37:00Z,c178,m039,4655
289,2026-08-01T21:40:00Z,c178,c154,6212
290,2026-08-01T21:47:00Z,c178,m035,10984
291,2026-08-01T21:51:00Z,c161,m015,7604
292,2026-08-01T21:55:00Z,c178,m011,5797
293,2026-08-01T21:57:00Z,c178,m009,6119
294,2026-08-01T22:01:00Z,c178,m039,4895
295,2026-08-01T22:26:00Z,c152,m017,12611
296,2026-08-01T22:28:00Z,c142,c075,24327
297,2026-08-01T22:30:00Z,c152,m020,19776
298,2026-08-01T22:32:00Z,c152,m036,21116
299,2026-08-01T22:38:00Z,c152,c043,11341
300,2026-08-01T22:47:00Z,c091,m013,4272
301,2026-08-01T23:52:00Z,c055,m029,3047
302,2026-08-02T00:51:00Z,c077,m003,27749
303,2026-08-02T04:07:00Z,c135,m037,8504
304,2026-08-02T04:10:00Z,c045,c018,2904
305,2026-08-02T04:21:00Z,c045,c018,2573
306,2026-08-02T04:29:00Z,c008,m032,4362
307,2026-08-02T04:56:00Z,c045,m000,1644
308,2026-08-02T05:35:00Z,c169,m039,15874
309,2026-08-02T05:44:00Z,c053,m013,400000
310,2026-08-02T05:48:00Z,c032,m002,3693
311,2026-08-02T06:31:00Z,c031,m002,3158
312,2026-08-02T06:31:00Z,c093,m007,563
313,2026-08-02T06:38:00Z,c057,c084,2903
314,2026-08-02T06:40:00Z,c065,m010,400000
315,2026-08-02T06:49:00Z,c135,m029,11213
316,2026-08-02T06:50:00Z,c053,m034,22615
317,2026-08-02T06:57:00Z,c042,m007,7055
318,2026-08-02T07:05:00Z,c098,m032,5800
319,2026-08-02T07:21:00Z,c126,m006,4903
320,2026-08-02T07:23:00Z,c138,m028,10677
321,2026-08-02T07:28:00Z,c169,m039,31355
322,2026-08-02T07:35:00Z,c166,m015,2108
323,2026-08-02T07:43:00Z,c030,m020,2301
324,2026-08-02T07:48:00Z,c093,m037,1732
325,2026-08-02T07:52:00Z,c078,m031,1473
326,2026-08-02T07:55:00Z,c127,m030,10344
327,2026-08-02T07:58:00Z,c043,m032,12206
328,2026-08-02T08:02:00Z,c005,m011,7849
329,2026-08-02T08:05:00Z,c005,c018,3188
330,2026-08-02T08:07:00Z,c098,m032,8892
331,2026-08-02T08:08:00Z,c005,m009,3324
332,2026-08-02T08:13:00Z,c138,c003,18666
333,2026-08-02T08:27:00Z,c169,m007,21904
334,2026-08-02T08:31:00Z,c038,c144,1764
335,2026-08-02T08:31:00Z,c166,m004,793
336,2026-08-02T08:33:00Z,c031,m026,11543
337,2026-08-02T08:33:00Z,c038,m002,3218
338,2026-08-02T08:36:00Z,c158,m033,1392
339,2026-08-02T08:39:00Z,c002,c048,7502
340,2026-08-02T08:41:00Z,c119,m011,1711
341,2026-08-02T08:42:00Z,c124,m003,18486
342,2026-08-02T08:46:00Z,c171,c156,240000
343,2026-08-02T08:48:00Z,c120,m029,11588
344,2026-08-02T08:51:00Z,c041,m029,4898
345,2026-08-02T08:54:00Z,c107,m038,1782
346,2026-08-02T08:59:00Z,c078,m001,4676
347,2026-08-02T09:00:00Z,c093,m022,1987
348,2026-08-02T09:06:00Z,c032,c083,2579
349,2026-08-02T09:06:00Z,c050,c063,2384
350,2026-08-02T09:08:00Z,c042,m007,15543
351,2026-08-02T09:10:00Z,c050,c005,9100
352,2026-08-02T09:15:00Z,c127,c061,6601
353,2026-08-02T09:16:00Z,c050,m001,6388
354,2026-08-02T09:20:00Z,c119,m013,2417
355,2026-08-02T09:22:00Z,c098,m010,6962
356,2026-08-02T09:23:00Z,c078,c021,8155
357,2026-08-02T09:24:00Z,c050,m035,2855
358,2026-08-02T09:28:00Z,c127,m030,15495
359,2026-08-02T09:30:00Z,c177,m013,8257
360,2026-08-02T09:40:00Z,c002,m039,5366
361,2026-08-02T09:50:00Z,c021,m038,7189
362,2026-08-02T09:51:00Z,c177,m011,1927
363,2026-08-02T09:59:00Z,c041,m029,4062
364,2026-08-02T09:59:00Z,c057,c059,1955
365,2026-08-02T10:06:00Z,c039,m036,9033
366,2026-08-02T10:07:00Z,c048,m022,3981
367,2026-08-02T10:11:00Z,c066,m029,9379
368,2026-08-02T10:16:00Z,c057,c059,1606
369,2026-08-02T10:16:00Z,c090,m017,26854
370,2026-08-02T10:18:00Z,c151,c088,2577
371,2026-08-02T10:20:00Z,c078,m024,2456
372,2026-08-02T10:22:00Z,c165,m015,4313
373,2026-08-02T10:25:00Z,c090,m024,13059
374,2026-08-02T10:35:00Z,c013,c090,18017
375,2026-08-02T10:36:00Z,c021,m026,9513
376,2026-08-02T10:37:00Z,c093,c083,1385
377,2026-08-02T10:38:00Z,c120,m001,11042
378,2026-08-02T10:44:00Z,c153,m013,400000
379,2026-08-02T10:49:00Z,c009,m011,4115
380,2026-08-02T10:50:00Z,c153,m013,29267
381,2026-08-02T10:51:00Z,c070,m024,10208
382,2026-08-02T10:51:00Z,c162,m015,12094
383,2026-08-02T10:54:00Z,c153,c054,24892
384,2026-08-02T10:55:00Z,c133,m023,767
385,2026-08-02T10:59:00Z,c070,m036,6510
386,2026-08-02T11:05:00Z,c127,m030,3047
387,2026-08-02T11:06:00Z,c162,m026,10692
388,2026-08-02T11:08:00Z,c006,m031,14838
389,2026-08-02T11:09:00Z,c079,m006,6240
390,2026-08-02T11:09:00Z,c079,m006,18636
391,2026-08-02T11:11:00Z,c070,m024,9047
392,2026-08-02T11:19:00Z,c150,c166,13714
393,2026-08-02T11:27:00Z,c109,m022,1885
394,2026-08-02T11:29:00Z,c104,m017,9944
395,2026-08-02T11:33:00Z,c015,c060,16240
396,2026-08-02T11:33:00Z,c043,m036,38620
397,2026-08-02T11:37:00Z,c037,m006,17971
398,2026-08-02T11:38:00Z,c052,c030,4941
399,2026-08-02T11:39:00Z,c101,m010,12461
400,2026-08-02T11:40:00Z,c022,m009,423
401,2026-08-02T11:42:00Z,c103,m026,1677
402,2026-08-02T11:42:00Z,c151,m001,2706
403,2026-08-02T11:46:00Z,c048,m022,8110
404,2026-08-02T11:48:00Z,c122,m034,7837
405,2026-08-02T11:50:00Z,c079,m004,5707
406,2026-08-02T11:50:00Z,c103,m029,2341
407,2026-08-02T11:55:00Z,c057,c059,4106
408,2026-08-02T12:01:00Z,c021,m026,14353
409,2026-08-02T12:05:00Z,c149,c094,4400
410,2026-08-02T12:08:00Z,c078,m024,4658
411,2026-08-02T12:10:00Z,c052,m029,120000
412,2026-08-02T12:13:00Z,c111,m037,11680
413,2026-08-02T12:16:00Z,c176,c166,10087
414,2026-08-02T12:19:00Z,c170,m017,339
415,2026-08-02T12:21:00Z,c170,m011,1855
416,2026-08-02T12:23:00Z,c046,c064,4677
417,2026-08-02T12:24:00Z,c040,m005,27087
418,2026-08-02T12:24:00Z,c141,m010,1298
419,2026-08-02T12:25:00Z,c139,m028,14928
420,2026-08-02T12:26:00Z,c095,c022,3883
421,2026-08-02T12:28:00Z,c120,m009,19199
422,2026-08-02T12:28:00Z,c150,c071,14637
423,2026-08-02T12:30:00Z,c099,m007,2018
424,2026-08-02T12:30:00Z,c139,m038,22321
425,2026-08-02T12:31:00Z,c092,m016,2904
426,2026-08-02T12:33:00Z,c122,m026,5637
427,2026-08-02T12:39:00Z,c120,m004,18631
428,2026-08-02T12:39:00Z,c155,m025,1384
429,2026-08-02T12:40:00Z,c020,m031,15302
430,2026-08-02T12:43:00Z,c134,m034,19933
431,2026-08-02T12:45:00Z,c149,c090,1872
432,2026-08-02T12:46:00Z,c007,m002,23020
433,2026-08-02T12:49:00Z,c070,m024,4062
434,2026-08-02T13:00:00Z,c106,c055,8225
435,2026-08-02T13:01:00Z,c061,m029,15429
436,2026-08-02T13:05:00Z,c058,m001,11013
437,2026-08-02T13:05:00Z,c120,c073,20361
438,2026-08-02T13:06:00Z,c058,m002,6503
439,2026-08-02T13:10:00Z,c079,m023,5351
440,2026-08-02T13:13:00Z,c099,c011,1628
441,2026-08-02T13:20:00Z,c134,m034,20552
442,2026-08-02T13:21:00Z,c074,m036,4667
443,2026-08-02T13:21:00Z,c168,c091,17182
444,2026-08-02T13:36:00Z,c104,m036,15647
445,2026-08-02T13:40:00Z,c119,c128,619
446,2026-08-02T13:40:00Z,c149,c090,1152
447,2026-08-02T13:43:00Z,c127,m030,5170
448,2026-08-02T13:44:00Z,c037,m017,21890
449,2026-08-02T13:52:00Z,c058,c018,7207
450,2026-08-02T13:52:00Z,c076,m005,35021
451,2026-08-02T13:54:00Z,c061,m029,19931
452,2026-08-02T13:54:00Z,c162,m001,4890
453,2026-08-02T14:06:00Z,c035,c005,749
454,2026-08-02T14:08:00Z,c103,c176,842
455,2026-08-02T14:10:00Z,c035,m007,878
456,2026-08-02T14:10:00Z,c035,m029,1691
457,2026-08-02T14:10:00Z,c159,m013,1134
458,2026-08-02T14:14:00Z,c139,m034,7146
459,2026-08-02T14:15:00Z,c012,m021,2340
460,2026-08-02T14:17:00Z,c037,c061,14742
461,2026-08-02T14:21:00Z,c034,m034,8417
462,2026-08-02T14:24:00Z,c020,m020,11561
463,2026-08-02T14:25:00Z,c157,m032,17655
464,2026-08-02T14:28:00Z,c004,m031,1673
465,2026-08-02T14:34:00Z,c122,m028,6674
466,2026-08-02T14:36:00Z,c067,m035,1875
467,2026-08-02T14:39:00Z,c058,c018,5105
468,2026-08-02T14:41:00Z,c165,m009,2529
469,2026-08-02T14:45:00Z,c163,m036,2357
470,2026-08-02T14:52:00Z,c056,m010,15915
471,2026-08-02T14:52:00Z,c097,m024,1867
472,2026-08-02T14:55:00Z,c094,m004,10089
473,2026-08-02T14:56:00Z,c132,m039,13395
474,2026-08-02T15:06:00Z,c081,m024,1834
475,2026-08-02T15:12:00Z,c069,c075,2007
476,2026-08-02T15:13:00Z,c060,m022,12389
477,2026-08-02T15:16:00Z,c000,c039,21135
478,2026-08-02T15:16:00Z,c003,m016,50000
479,2026-08-02T15:16:00Z,c046,m004,3744
480,2026-08-02T15:16:00Z,c144,m023,7660
481,2026-08-02T15:18:00Z,c010,m009,4426
482,2026-08-02T15:21:00Z,c170,c124,942
483,2026-08-02T15:24:00Z,c071,m023,5389
484,2026-08-02T15:24:00Z,c108,m035,3117
485,2026-08-02T15:28:00Z,c037,c003,26732
486,2026-08-02T15:30:00Z,c064,m011,7462
487,2026-08-02T15:34:00Z,c061,m009,15059
488,2026-08-02T15:36:00Z,c143,m013,1509
489,2026-08-02T15:40:00Z,c058,m021,4349
490,2026-08-02T15:40:00Z,c122,m034,6443
491,2026-08-02T15:45:00Z,c142,m015,9634
492,2026-08-02T15:48:00Z,c029,c175,60000
493,2026-08-02T15:50:00Z,c084,m037,12344
494,2026-08-02T15:52:00Z,c074,m036,9512
495,2026-08-02T15:54:00Z,c064,m011,6843
496,2026-08-02T15:57:00Z,c068,m038,240000
497,2026-08-02T15:58:00Z,c101,c129,2950
498,2026-08-02T15:58:00Z,c103,c176,1035
499,2026-08-02T16:08:00Z,c161,m001,12496
500,2026-08-02T16:11:00Z,c046,m008,6528
501,2026-08-02T16:11:00Z,c155,c056,1594
502,2026-08-02T16:12:00Z,c011,c134,4861
503,2026-08-02T16:15:00Z,c160,c069,240000
504,2026-08-02T16:15:00Z,c160,m003,9466
505,2026-08-02T16:21:00Z,c116,m025,4262
506,2026-08-02T16:25:00Z,c068,m019,12762
507,2026-08-02T16:35:00Z,c062,m025,23580
508,2026-08-02T16:37:00Z,c116,m027,3399
509,2026-08-02T16:46:00Z,c037,c122,22687
510,2026-08-02T16:47:00Z,c168,m024,16221
511,2026-08-02T16:47:00Z,c176,c064,3518
512,2026-08-02T16:49:00Z,c108,m035,4117
513,2026-08-02T16:52:00Z,c074,c038,1956
514,2026-08-02T16:56:00Z,c084,c067,12698
515,2026-08-02T17:05:00Z,c086,m030,7405
516,2026-08-02T17:08:00Z,c011,m026,1297
517,2026-08-02T17:08:00Z,c176,m012,6252
518,2026-08-02T17:10:00Z,c033,m002,931
519,2026-08-02T17:11:00Z,c089,m037,11583
520,2026-08-02T17:15:00Z,c086,c020,7712
521,2026-08-02T17:24:00Z,c051,c006,6962
522,2026-08-02T17:24:00Z,c068,m030,11100
523,2026-08-02T17:29:00Z,c029,c178,4918
524,2026-08-02T17:32:00Z,c033,m035,1650
525,2026-08-02T17:33:00Z,c046,m008,2701
526,2026-08-02T17:36:00Z,c178,m037,3144
527,2026-08-02T17:42:00Z,c007,m036,14516
528,2026-08-02T17:45:00Z,c012,m021,919
529,2026-08-02T17:45:00Z,c017,m010,15496
530,2026-08-02T17:51:00Z,c091,c069,5015
531,2026-08-02T17:56:00Z,c014,c084,4028
532,2026-08-02T18:00:00Z,c014,c084,2489
533,2026-08-02T18:01:00Z,c014,m005,5559
534,2026-08-02T18:03:00Z,c148,m001,9318
535,2026-08-02T18:05:00Z,c014,m005,1711
536,2026-08-02T18:26:00Z,c128,m038,1974
537,2026-08-02T18:28:00Z,c047,c065,1871
538,2026-08-02T18:30:00Z,c128,c129,2374
