seq,is_fraud,pattern,episode
158,0,normal,
159,0,normal,
160,0,normal,
161,0,normal,
162,0,normal,
163,0,normal,
164,0,normal,
165,0,normal,
166,0,normal,
167,0,normal,
168,0,normal,
169,0,normal,
170,0,normal,
171,0,normal,
172,0,normal,
173,0,normal,
174,0,normal,
175,0,normal,
176,0,normal,
177,0,normal,
178,0,normal,
179,0,normal,
180,0,normal,
181,0,normal,
182,0,normal,
183,0,normal,
184,0,normal,
185,0,normal,
186,0,normal,
187,0,normal,
188,0,normal,
189,0,normal,
190,0,normal,
191,0,normal,
192,0,normal,
193,0,normal,
194,0,normal,
195,0,normal,
196,0,normal,
197,0,normal,
198,0,normal,
199,0,normal,
200,0,normal,
201,0,normal,
202,0,normal,
203,0,normal,
204,0,normal,
205,0,normal,
206,0,normal,
207,0,normal,
208,0,normal,
209,0,normal,
210,0,normal,
211,0,normal,
212,0,normal,
213,0,normal,
214,0,normal,
215,0,normal,
216,0,normal,
217,0,normal,
218,0,normal,
219,0,normal,
220,0,normal,
221,0,normal,
222,0,normal,
223,0,normal,
224,0,normal,
225,0,normal,
226,0,normal,
227,0,normal,
228,0,normal,
229,0,normal,
230,0,normal,
231,0,normal,
232,0,normal,
233,0,normal,
234,0,normal,
235,0,normal,
236,0,normal,
237,0,normal,
238,0,normal,
239,0,normal,
240,0,normal,
241,0,normal,
242,0,normal,
243,0,normal,
244,0,normal,
245,0,normal,
246,0,normal,
247,0,normal,
248,0,normal,
249,0,normal,
250,0,normal,
251,0,normal,
252,0,normal,
253,0,normal,
254,0,normal,
255,0,normal,
256,0,normal,
257,0,normal,
258,0,normal,
259,0,normal,
260,0,normal,
261,0,normal,
262,0,normal,
263,0,normal,
264,0,normal,
265,0,normal,
266,0,normal,
267,0,normal,
268,0,normal,
269,0,normal,
270,0,normal,
271,0,normal,
272,0,normal,
273,0,normal,
274,0,normal,
275,0,normal,
276,0,normal,
277,0,normal,
278,0,normal,
279,0,normal,
280,0,normal,
281,0,normal,
282,0,normal,
283,0,normal,
284,0,normal,
285,0,normal,
286,0,normal,
287,0,normal,
288,0,normal,
289,0,normal,
290,0,normal,
291,0,normal,
292,0,normal,
293,0,normal,
294,0,normal,
295,0,normal,
296,0,normal,
297,0,normal,
298,0,normal,
299,0,normal,
300,0,normal,
301,0,normal,
302,0,normal,
303,0,normal,
304,0,normal,
305,0,normal,
306,0,normal,
307,0,normal,
308,0,normal,
309,0,normal,
310,0,normal,
311,0,normal,
312,0,normal,
313,0,normal,
314,0,normal,
315,0,normal,
316,0,normal,
317,0,normal,
318,0,normal,
319,0,normal,
320,0,normal,
321,0,normal,
322,0,normal,
323,0,normal,
324,0,normal,
325,0,normal,
326,0,normal,
327,0,normal,
328,0,normal,
329,0,normal,
330,0,normal,
331,0,normal,
332,0,normal,
333,0,normal,
334,0,normal,
335,0,normal,
336,0,normal,
337,0,normal,
338,0,normal,
339,0,normal,
340,0,normal,
341,0,normal,
342,0,normal,
343,0,normal,
344,0,normal,
345,0,normal,
346,0,normal,
347,0,normal,
348,0,normal,
349,0,normal,
350,0,normal,
351,0,normal,
352,0,normal,
353,0,normal,
354,0,normal,
355,0,normal,
356,0,normal,
357,0,normal,
358,0,normal,
359,0,normal,
360,0,normal,
361,0,normal,
362,0,normal,
363,0,normal,
364,0,normal,
365,0,normal,
366,0,normal,
367,0,normal,
368,0,normal,
369,0,normal,
370,0,normal,
371,0,normal,
372,0,normal,
373,0,normal,
374,0,normal,
375,0,normal,
376,0,normal,
377,0,normal,
378,0,normal,
379,0,normal,
380,0,normal,
381,0,normal,
382,0,normal,
383,0,normal,
384,0,normal,
385,0,normal,
386,0,normal,
387,0,normal,
388,0,normal,
389,0,normal,
390,0,normal,
391,0,normal,
392,0,normal,
393,0,normal,
394,0,normal,
395,0,normal,
396,0,normal,
397,0,normal,
398,0,normal,
399,0,normal,
400,0,normal,
401,0,normal,
402,0,normal,
403,0,normal,
404,0,normal,
405,0,normal,
406,0,normal,
407,0,normal,
408,0,normal,
409,0,normal,
410,0,normal,
411,0,normal,
412,0,normal,
413,0,normal,
414,0,normal,
415,0,normal,
416,0,normal,
417,0,normal,
418,0,normal,
419,0,normal,
420,0,normal,
421,0,normal,
422,0,normal,
423,0,normal,
424,0,normal,
425,0,normal,
426,0,normal,
427,0,normal,
428,0,normal,
429,0,normal,
430,0,normal,
431,0,normal,
432,0,normal,
433,0,normal,
434,0,normal,
435,0,normal,
436,0,normal,
437,0,normal,
438,0,normal,
439,0,normal,
440,0,normal,
441,0,normal,
442,0,normal,
443,0,normal,
444,0,normal,
445,0,normal,
446,0,normal,
447,0,normal,
448,0,normal,
449,0,normal,
450,0,normal,
451,0,normal,
452,0,normal,
453,0,normal,
454,0,normal,
455,0,normal,
456,0,normal,
457,0,normal,
458,0,normal,
459,0,normal,
460,0,normal,
461,0,normal,
462,0,normal,
463,0,normal,
464,0,normal,
465,0,normal,
466,0,normal,
467,0,normal,
468,0,normal,
469,0,normal,
470,0,normal,
471,0,normal,
472,0,normal,
473,0,normal,
474,0,normal,
475,0,normal,
476,0,normal,
477,0,normal,
478,0,normal,
479,0,normal,
480,0,normal,
481,0,normal,
482,0,normal,
483,0,normal,
484,0,normal,
485,0,normal,
486,0,normal,
487,0,normal,
488,0,normal,
489,0,normal,
490,0,normal,
491,0,normal,
492,0,normal,
493,0,normal,
494,0,normal,
495,0,normal,
496,0,normal,
497,0,normal,
498,0,normal,
499,0,normal,
500,0,normal,
501,0,normal,
502,0,normal,
503,0,normal,
504,0,normal,
505,0,normal,
506,0,normal,
507,0,normal,
508,0,normal,
509,0,normal,
510,0,normal,
511,0,normal,
512,0,normal,
513,0,normal,
514,0,normal,
515,0,normal,
516,0,normal,
517,0,normal,
518,0,normal,
519,0,normal,
520,0,normal,
521,0,normal,
522,0,normal,
523,0,normal,
524,0,normal,
525,0,normal,
526,0,normal,
527,0,normal,
528,0,normal,
529,0,normal,
530,0,normal,
531,0,normal,
532,0,normal,
533,0,normal,
534,0,normal,
535,0,normal,
536,0,normal,
537,0,normal,
538,0,normal,
539,0,normal,
540,0,normal,
541,0,normal,
542,0,normal,
543,0,normal,
544,0,normal,
545,0,normal,
546,0,normal,
547,0,normal,
548,0,normal,
549,0,normal,
550,0,normal,
551,0,normal,
552,0,normal,
553,0,normal,
554,0,normal,
555,0,normal,
556,0,normal,
557,0,normal,
558,0,normal,
559,0,normal,
560,0,normal,
561,0,normal,
562,0,normal,
563,0,normal,
564,0,normal,
565,0,normal,
566,0,normal,
567,0,normal,
568,0,normal,
569,0,normal,
570,0,normal,
571,0,normal,
572,0,normal,
573,0,normal,
574,0,normal,
575,0,normal,
576,0,normal,
577,0,normal,
578,0,normal,
579,0,normal,
580,0,normal,
581,0,normal,
582,0,normal,
583,0,normal,
584,0,normal,
585,0,normal,
586,0,normal,
587,0,normal,
588,0,normal,
589,0,normal,
590,0,normal,
591,0,normal,
592,0,normal,
593,0,normal,
594,0,normal,
595,0,normal,
596,0,normal,
597,0,normal,
598,0,normal,
599,0,normal,
600,0,normal,
601,0,normal,
602,0,normal,
603,0,normal,
604,0,normal,
605,0,normal,
606,0,normal,
607,0,normal,
608,0,normal,
609,0,normal,
610,0,normal,
611,0,normal,
612,0,normal,
613,0,normal,
614,0,normal,
615,0,normal,
616,0,normal,
617,0,normal,
618,0,normal,
619,0,normal,
620,0,normal,
621,0,normal,
622,0,normal,
623,0,normal,
624,0,normal,
625,0,normal,
626,0,normal,
627,0,normal,
628,0,normal,
629,0,normal,
630,0,normal,
631,0,normal,
632,0,normal,
633,0,normal,
634,0,normal,
635,0,normal,
636,0,normal,
637,0,normal,
638,0,normal,
639,0,normal,
640,0,normal,
641,0,normal,
642,0,normal,
643,0,normal,
644,0,normal,
645,0,normal,
646,0,normal,
647,0,normal,
648,0,normal,
649,0,normal,
650,0,normal,
651,0,normal,
652,0,normal,
653,0,normal,
654,0,normal,
655,0,normal,
656,0,normal,
657,0,normal,
658,0,normal,
659,0,normal,
660,0,normal,
661,0,normal,
662,0,normal,
663,0,normal,
664,0,normal,
665,0,normal,
666,0,normal,
667,0,normal,
668,0,normal,
669,0,normal,
670,0,normal,
671,0,normal,
672,0,normal,
673,0,normal,
674,0,normal,
675,0,normal,
676,0,normal,
677,0,normal,
678,0,normal,
679,0,normal,
680,0,normal,
681,0,normal,
682,0,normal,
683,0,normal,
684,0,normal,
685,0,normal,
686,0,normal,
687,0,normal,
688,0,normal,
689,0,normal,
690,0,normal,
691,0,normal,
692,0,normal,
693,0,normal,
694,0,normal,
695,0,normal,
696,0,normal,
697,0,normal,
698,0,normal,
699,0,normal,
700,0,normal,
701,0,normal,
702,0,normal,
703,0,normal,
704,0,normal,
705,0,normal,
706,0,normal,
707,0,normal,
708,0,normal,
709,0,normal,
710,0,normal,
711,0,normal,
712,0,normal,
713,0,normal,
714,0,normal,
715,0,normal,
716,0,normal,
717,0,normal,
718,0,normal,
719,0,normal,
720,0,normal,
721,0,normal,
722,0,normal,
723,0,normal,
724,0,normal,
725,0,normal,
726,0,normal,
727,0,normal,
728,0,normal,
729,0,normal,
730,0,normal,
731,0,normal,
732,0,normal,
733,0,normal,
734,0,normal,
735,0,normal,
736,0,normal,
737,0,normal,
738,0,normal,
739,0,normal,
740,0,normal,
741,0,normal,
742,0,normal,
743,0,normal,
744,0,normal,
745,0,normal,
746,0,normal,
747,0,normal,
748,0,normal,
749,0,normal,
750,0,normal,
751,0,normal,
752,0,normal,
753,0,normal,
754,0,normal,
755,0,normal,
756,0,normal,
757,0,normal,
758,0,normal,
759,0,normal,
760,0,normal,
761,0,normal,
762,0,normal,
763,0,normal,
764,0,normal,
765,0,normal,
766,0,normal,
767,0,normal,
768,0,normal,
769,0,normal,
770,0,normal,
771,0,normal,
772,0,normal,
773,0,normal,
774,0,normal,
775,0,normal,
776,0,normal,
777,0,normal,
778,0,normal,
779,0,normal,
780,0,normal,
781,0,normal,
782,0,normal,
783,0,normal,
784,0,normal,
785,0,normal,
786,0,normal,
787,0,normal,
788,0,normal,
789,0,normal,
790,0,normal,
791,0,normal,
792,0,normal,
793,0,normal,
794,0,normal,
795,0,normal,
796,0,normal,
797,0,normal,
798,0,normal,
799,0,normal,
800,0,normal,
801,0,normal,
802,0,normal,
803,0,normal,
804,0,normal,
805,0,normal,
806,0,normal,
807,0,normal,
808,0,normal,
809,0,normal,
810,0,normal,
811,0,normal,
812,0,normal,
813,0,normal,
814,0,normal,
815,0,normal,
816,0,normal,
817,0,normal,
818,0,normal,
819,0,normal,
820,0,normal,
821,0,normal,
822,0,normal,
823,0,normal,
824,0,normal,
825,0,normal,
826,0,normal,
827,0,normal,
828,0,normal,
829,0,normal,
830,0,normal,
831,0,normal,
832,0,normal,
833,0,normal,
834,0,normal,
835,0,normal,
836,0,normal,
837,0,normal,
838,0,normal,
839,0,normal,
840,0,normal,
841,0,normal,
842,0,normal,
843,0,normal,
844,0,normal,
845,0,normal,
846,0,normal,
847,0,normal,
848,0,normal,
849,0,normal,
850,0,normal,
851,0,normal,
852,0,normal,
853,0,normal,
854,0,normal,
855,0,normal,
856,0,normal,
857,0,normal,
858,0,normal,
859,0,normal,
860,0,normal,
861,0,normal,
862,0,normal,
863,0,normal,
864,0,normal,
865,0,normal,
866,0,normal,
867,0,normal,
868,0,normal,
869,0,normal,
870,0,normal,
871,0,normal,
872,0,normal,
873,0,normal,
874,0,normal,
875,0,normal,
876,0,normal,
877,0,normal,
878,0,normal,
879,0,normal,
880,0,normal,
881,0,normal,
882,0,normal,
883,0,normal,
884,0,normal,
885,0,normal,
886,0,normal,
887,0,normal,
888,0,normal,
889,0,normal,
890,0,normal,
891,0,normal,
892,0,normal,
893,0,normal,
894,0,normal,
895,0,normal,
896,0,normal,
897,0,normal,
898,0,normal,
899,0,normal,
900,0,normal,
901,0,normal,
902,0,normal,
903,0,normal,
904,0,normal,
905,0,normal,
906,0,normal,
907,0,normal,
908,0,normal,
909,0,normal,
910,0,normal,
911,0,normal,
912,0,normal,
913,0,normal,
914,0,normal,
915,0,normal,
916,0,normal,
917,0,normal,
918,0,normal,
919,0,normal,
920,0,normal,
921,0,normal,
922,0,normal,
923,0,normal,
924,0,normal,
925,0,normal,
926,0,normal,
927,0,normal,
928,0,normal,
929,0,normal,
930,0,normal,
931,0,normal,
932,0,normal,
933,0,normal,
934,0,normal,
935,0,normal,
936,0,normal,
937,0,normal,
938,0,normal,
939,0,normal,
940,0,normal,
941,0,normal,
942,0,normal,
943,0,normal,
944,0,normal,
945,0,normal,
946,0,normal,
947,0,normal,
948,0,normal,
949,0,normal,
950,0,normal,
951,0,normal,
952,0,normal,
953,0,normal,
954,0,normal,
955,0,normal,
956,0,normal,
957,0,normal,
958,0,normal,
959,0,normal,
960,0,normal,
961,0,normal,
962,0,normal,
963,0,normal,
964,0,normal,
965,0,normal,
966,0,normal,
967,0,normal,
968,0,normal,
969,0,normal,
970,0,normal,
971,0,normal,
972,0,normal,
973,0,normal,
974,0,normal,
975,0,normal,
976,0,normal,
977,0,normal,
978,0,normal,
979,0,normal,
980,0,normal,
981,0,normal,
982,0,normal,
983,0,normal,
984,0,normal,
985,0,normal,
986,0,normal,
987,0,normal,
988,0,normal,
989,0,normal,
990,0,normal,
991,0,normal,
992,0,normal,
993,0,normal,
994,0,normal,
995,0,normal,
996,0,normal,
997,0,normal,
998,0,normal,
999,0,normal,
1000,0,normal,
1001,0,normal,
1002,0,normal,
1003,0,normal,
1004,0,normal,
1005,0,normal,
1006,0,normal,
1007,0,normal,
1008,0,normal,
1009,0,normal,
1010,0,normal,
1011,0,normal,
1012,0,normal,
1013,0,normal,
1014,0,normal,
1015,0,normal,
1016,0,normal,
1017,0,normal,
1018,0,normal,
1019,0,normal,
1020,0,normal,
1021,0,normal,
1022,0,normal,
1023,0,normal,
1024,0,normal,
1025,0,normal,
1026,0,normal,
1027,0,normal,
1028,0,normal,
1029,0,normal,
1030,0,normal,
1031,0,normal,
1032,0,normal,
1033,0,normal,
1034,0,normal,
1035,0,normal,
1036,0,normal,
1037,0,normal,
1038,0,normal,
1039,0,normal,
1040,0,normal,
1041,0,normal,
1042,0,normal,
1043,0,normal,
1044,0,normal,
1045,0,normal,
1046,0,normal,
1047,0,normal,
1048,0,normal,
1049,0,normal,
1050,0,normal,
1051,0,normal,
1052,0,normal,
1053,0,normal,
1054,0,normal,
1055,0,normal,
1056,0,normal,
1057,0,normal,
1058,0,normal,
1059,0,normal,
1060,0,normal,
1061,0,normal,
1062,0,normal,
1063,0,normal,
1064,0,normal,
1065,0,normal,
1066,0,normal,
1067,0,normal,
1068,0,normal,
1069,0,normal,
1070,0,normal,
1071,0,normal,
1072,0,normal,
1073,0,normal,
1074,0,normal,
1075,0,normal,
1076,0,normal,
1077,0,normal,
1078,0,normal,
1079,0,normal,
1080,0,normal,
1081,0,normal,
1082,0,normal,
1083,0,normal,
1084,0,normal,
1085,0,normal,
1086,0,normal,
1087,0,normal,
1088,0,normal,
1089,0,normal,
1090,0,normal,
1091,0,normal,
1092,0,normal,
1093,0,normal,
1094,0,normal,
1095,0,normal,
1096,0,normal,
1097,0,normal,
1098,0,normal,
1099,0,normal,
1100,0,normal,
1101,0,normal,
1102,0,normal,
1103,0,normal,
1104,0,normal,
1105,0,normal,
1106,0,normal,
1107,0,normal,
1108,0,normal,
1109,0,normal,
1110,0,normal,
1111,0,normal,
1112,0,normal,
1113,0,normal,
1114,0,normal,
1115,0,normal,
1116,0,normal,
1117,0,normal,
1118,0,normal,
1119,0,normal,
1120,0,normal,
1121,0,normal,
1122,0,normal,
1123,0,normal,
1124,0,normal,
1125,0,normal,
1126,0,normal,
1127,0,normal,
1128,0,normal,
1129,0,normal,
1130,0,normal,
1131,0,normal,
1132,0,normal,
1133,0,normal,
1134,0,normal,
1135,0,normal,
1136,0,normal,
1137,0,normal,
1138,0,normal,
1139,0,normal,
1140,0,normal,
1141,0,normal,
1142,0,normal,
1143,0,normal,
1144,0,normal,
1145,0,normal,
1146,0,normal,
1147,0,normal,
1148,0,normal,
1149,0,normal,
1150,0,normal,
1151,0,normal,
1152,0,normal,
1153,0,normal,
1154,0,normal,
1155,0,normal,
1156,0,normal,
1157,0,normal,
1158,0,normal,
1159,0,normal,
1160,0,normal,
1161,0,normal,
1162,0,normal,
1163,0,normal,
1164,0,normal,
1165,0,normal,
1166,0,normal,
1167,0,normal,
1168,0,normal,
1169,0,normal,
1170,0,normal,
1171,0,normal,
1172,0,normal,
1173,0,normal,
1174,0,normal,
1175,0,normal,
1176,0,normal,
1177,0,normal,
1178,0,normal,
1179,0,normal,
1180,0,normal,
1181,0,normal,
1182,0,normal,
1183,0,normal,
1184,0,normal,
1185,0,normal,
1186,0,normal,
1187,0,normal,
1188,0,normal,
1189,0,normal,
1190,0,normal,
1191,0,normal,
1192,0,normal,
1193,0,normal,
1194,0,normal,
1195,0,normal,
1196,0,normal,
1197,0,normal,
1198,0,normal,
1199,0,normal,
1200,0,normal,
1201,0,normal,
1202,0,normal,
1203,0,normal,
1204,0,normal,
1205,0,normal,
1206,0,normal,
1207,0,normal,
1208,0,normal,
1209,0,normal,
1210,0,normal,
1211,0,normal,
1212,0,normal,
1213,0,normal,
1214,0,normal,
1215,0,normal,
1216,0,normal,
1217,0,normal,
1218,0,normal,
1219,0,normal,
1220,0,normal,
1221,0,normal,
1222,0,normal,
1223,0,normal,
1224,0,normal,
1225,0,normal,
1226,0,normal,
1227,0,normal,
1228,0,normal,
1229,0,normal,
1230,0,normal,
1231,0,normal,
1232,0,normal,
1233,0,normal,
1234,0,normal,
1235,0,normal,
1236,0,normal,
1237,0,normal,
1238,0,normal,
1239,0,normal,
1240,0,normal,
1241,0,normal,
1242,0,normal,
1243,0,normal,
1244,0,normal,
1245,0,normal,
1246,0,normal,
1247,0,normal,
1248,0,normal,
1249,0,normal,
1250,0,normal,
1251,0,normal,
1252,0,normal,
1253,0,normal,
1254,0,normal,
1255,0,normal,
1256,0,normal,
1257,0,normal,
1258,0,normal,
1259,0,normal,
1260,0,normal,
1261,0,normal,
1262,0,normal,
1263,0,normal,
1264,0,normal,
1265,0,normal,
1266,0,normal,
1267,0,normal,
1268,0,normal,
1269,0,normal,
1270,0,normal,
1271,0,normal,
1272,0,normal,
1273,0,normal,
1274,0,normal,
1275,0,normal,
1276,0,normal,
1277,0,normal,
1278,0,normal,
1279,0,normal,
1280,0,normal,
1281,0,normal,
1282,0,normal,
1283,0,normal,
1284,0,normal,
1285,0,normal,
1286,0,normal,
1287,0,normal,
1288,0,normal,
1289,0,normal,
1290,0,normal,
1291,0,normal,
1292,0,normal,
1293,0,normal,
1294,0,normal,
1295,0,normal,
1296,0,normal,
1297,0,normal,
1298,0,normal,
1299,0,normal,
1300,0,normal,
1301,0,normal,
1302,0,normal,
1303,0,normal,
1304,0,normal,
1305,0,normal,
1306,0,normal,
1307,0,normal,
1308,0,normal,
1309,0,normal,
1310,0,normal,
1311,0,normal,
1312,0,normal,
1313,0,normal,
1314,0,normal,
1315,0,normal,
1316,0,normal,
1317,0,normal,
1318,0,normal,
1319,0,normal,
1320,0,normal,
1321,0,normal,
1322,0,normal,
1323,0,normal,
1324,0,normal,
1325,0,normal,
1326,0,normal,
1327,0,normal,
1328,0,normal,
1329,0,normal,
1330,0,normal,
1331,0,normal,
1332,0,normal,
1333,0,normal,
1334,0,normal,
1335,0,normal,
1336,0,normal,
1337,0,normal,
1338,0,normal,
1339,0,normal,
1340,0,normal,
1341,0,normal,
1342,0,normal,
1343,0,normal,
1344,0,normal,
1345,0,normal,
1346,0,normal,
1347,0,normal,
1348,0,normal,
1349,0,normal,
1350,0,normal,
1351,0,normal,
1352,0,normal,
1353,0,normal,
1354,0,normal,
1355,0,normal,
1356,0,normal,
1357,0,normal,
1358,0,normal,
1359,0,normal,
1360,0,normal,
1361,0,normal,
1362,0,normal,
1363,0,normal,
1364,0,normal,
1365,0,normal,
1366,0,normal,
1367,0,normal,
1368,0,normal,
1369,0,normal,
1370,0,normal,
1371,0,normal,
1372,0,normal,
1373,0,normal,
1374,0,normal,
1375,0,normal,
1376,0,normal,
1377,0,normal,
1378,0,normal,
1379,0,normal,
1380,0,normal,
1381,0,normal,
1382,0,normal,
1383,0,normal,
1384,0,normal,
1385,0,normal,
1386,0,normal,
1387,0,normal,
1388,0,normal,
1389,0,normal,
1390,0,normal,
1391,0,normal,
1392,0,normal,
1393,0,normal,
1394,0,normal,
1395,0,normal,
1396,0,normal,
1397,0,normal,
1398,0,normal,
1399,0,normal,
1400,0,normal,
1401,0,normal,
1402,0,normal,
1403,0,normal,
1404,0,normal,
1405,0,normal,
1406,0,normal,
1407,0,normal,
1408,0,normal,
1409,0,normal,
1410,0,normal,
1411,0,normal,
1412,0,normal,
1413,0,normal,
1414,0,normal,
1415,0,normal,
1416,0,normal,
1417,0,normal,
1418,0,normal,
1419,0,normal,
1420,0,normal,
1421,0,normal,
1422,0,normal,
1423,0,normal,
1424,0,normal,
1425,0,normal,
1426,0,normal,
1427,0,normal,
1428,0,normal,
1429,0,normal,
1430,0,normal,
1431,0,normal,
1432,0,normal,
1433,0,normal,
1434,0,normal,
1435,0,normal,
1436,0,normal,
1437,0,normal,
1438,0,normal,
1439,0,normal,
1440,0,normal,
1441,0,normal,
1442,0,normal,
1443,0,normal,
1444,0,normal,
1445,0,normal,
1446,0,normal,
1447,0,normal,
1448,0,normal,
1449,0,normal,
1450,0,normal,
1451,0,normal,
1452,0,normal,
1453,0,normal,
1454,0,normal,
1455,0,normal,
1456,0,normal,
1457,0,normal,
1458,0,normal,
1459,0,normal,
1460,0,normal,
1461,0,normal,
1462,0,normal,
1463,0,normal,
1464,0,normal,
1465,0,normal,
1466,0,normal,
1467,0,normal,
1468,0,normal,
1469,0,normal,
1470,0,normal,
1471,0,normal,
1472,0,normal,
1473,0,normal,
1474,0,normal,
1475,0,normal,
1476,0,normal,
1477,0,normal,
1478,0,normal,
1479,0,normal,
1480,0,normal,
1481,0,normal,
1482,0,normal,
1483,0,normal,
1484,0,normal,
1485,0,normal,
1486,0,normal,
1487,0,normal,
1488,0,normal,
1489,0,normal,
1490,0,normal,
1491,0,normal,
1492,0,normal,
1493,0,normal,
1494,0,normal,
1495,0,normal,
1496,0,normal,
1497,0,normal,
1498,0,normal,
1499,0,normal,
1500,0,normal,
1501,0,normal,
1502,0,normal,
1503,0,normal,
1504,0,normal,
1505,0,normal,
1506,0,normal,
1507,0,normal,
1508,0,normal,
1509,0,normal,
1510,0,normal,
1511,0,normal,
1512,0,normal,
1513,0,normal,
1514,0,normal,
1515,0,normal,
1516,0,normal,
1517,0,normal,
1518,0,normal,
1519,0,normal,
1520,0,normal,
1521,0,normal,
1522,0,normal,
1523,0,normal,
1524,0,normal,
1525,0,normal,
1526,0,normal,
1527,0,normal,
1528,0,normal,
1529,0,normal,
1530,0,normal,
1531,0,normal,
1532,0,normal,
1533,0,normal,
1534,0,normal,
1535,0,normal,
1536,0,normal,
1537,0,normal,
1538,0,normal,
1539,0,normal,
1540,0,normal,
1541,0,normal,
1542,0,normal,
1543,0,normal,
1544,0,normal,
1545,0,normal,
1546,0,normal,
1547,0,normal,
1548,0,normal,
1549,0,normal,
1550,0,normal,
1551,0,normal,
1552,0,normal,
1553,0,normal,
1554,0,normal,
1555,0,normal,
1556,0,normal,
1557,0,normal,
1558,0,normal,
1559,0,normal,
1560,0,normal,
1561,0,normal,
1562,0,normal,
1563,0,normal,
1564,0,normal,
1565,0,normal,
1566,0,normal,
1567,0,normal,
1568,0,normal,
1569,0,normal,
1570,0,normal,
1571,0,normal,
1572,0,normal,
1573,0,normal,
1574,0,normal,
1575,0,normal,
1576,0,normal,
1577,0,normal,
1578,0,normal,
1579,0,normal,
1580,0,normal,
1581,0,normal,
1582,0,normal,
1583,0,normal,
1584,0,normal,
1585,0,normal,
1586,0,normal,
1587,0,normal,
1588,0,normal,
1589,0,normal,
1590,0,normal,
1591,0,normal,
1592,0,normal,
1593,0,normal,
1594,0,normal,
1595,0,normal,
1596,0,normal,
1597,0,normal,
1598,0,normal,
1599,0,normal,
1600,0,normal,
1601,0,normal,
1602,0,normal,
1603,0,normal,
1604,0,normal,
1605,0,normal,
1606,0,normal,
1607,0,normal,
1608,0,normal,
1609,0,normal,
1610,0,normal,
1611,0,normal,
1612,0,normal,
1613,0,normal,
1614,0,normal,
1615,0,normal,
1616,0,normal,
1617,0,normal,
1618,0,normal,
1619,0,normal,
1620,0,normal,
1621,0,normal,
1622,0,normal,
1623,0,normal,
1624,0,normal,
1625,0,normal,
1626,0,normal,
1627,0,normal,
1628,0,normal,
1629,0,normal,
1630,0,normal,
1631,0,normal,
1632,0,normal,
1633,0,normal,
1634,0,normal,
1635,0,normal,
1636,0,normal,
1637,0,normal,
1638,0,normal,
1639,0,normal,
1640,0,normal,
1641,0,normal,
1642,0,normal,
1643,0,normal,
1644,0,normal,
1645,0,normal,
1646,0,normal,
1647,0,normal,
1648,0,normal,
1649,0,normal,
1650,0,normal,
1651,0,normal,
1652,0,normal,
1653,0,normal,
1654,0,normal,
1655,0,normal,
1656,0,normal,
1657,0,normal,
1658,0,normal,
1659,0,normal,
1660,0,normal,
1661,0,normal,
1662,0,normal,
1663,0,normal,
