account,kind,opening_minor
x-burst-05-1,beneficiary,0
x-structuring-05-0,beneficiary,0
x-takeover-05-0,beneficiary,0
u-mule-05-0,mule,200000
u-mule-05-1,mule,200000
u-mule-05-2,mule,200000
x-mule-05-0,beneficiary,0
x-burst-06-0,beneficiary,0
x-burst-06-1,beneficiary,0
x-structuring-06-0,beneficiary,0
x-takeover-06-0,beneficiary,0
u-mule-06-0,mule,200000
u-mule-06-1,mule,200000
u-mule-06-2,mule,200000
u-mule-06-3,mule,200000
x-mule-06-0,beneficiary,0
x-burst-07-0,beneficiary,0
x-burst-07-1,beneficiary,0
x-structuring-07-0,beneficiary,0
x-structuring-07-1,beneficiary,0
x-takeover-07-0,beneficiary,0
u-mule-07-0,mule,200000
u-mule-07-1,mule,200000
u-mule-07-2,mule,200000
u-mule-07-3,mule,200000
x-mule-07-0,beneficiary,0
x-burst-08-0,beneficiary,0
x-burst-08-1,beneficiary,0
x-structuring-08-0,beneficiary,0
x-takeover-08-0,beneficiary,0
u-mule-08-0,mule,200000
u-mule-08-1,mule,200000
u-mule-08-2,mule,200000
x-mule-08-0,beneficiary,0
x-burst-09-0,beneficiary,0
x-burst-09-1,beneficiary,0
x-structuring-09-0,beneficiary,0
x-structuring-09-1,beneficiary,0
x-takeover-09-0,beneficiary,0
u-mule-09-0,mule,200000
u-mule-09-1,mule,200000
u-mule-09-2,mule,200000
x-mule-09-0,beneficiary,0
x-burst-10-0,beneficiary,0
x-burst-10-1,beneficiary,0
x-burst-10-2,beneficiary,0
x-structuring-10-0,beneficiary,0
x-structuring-10-1,beneficiary,0
x-takeover-10-0,beneficiary,0
u-mule-10-0,mule,200000
u-mule-10-1,mule,200000
u-mule-10-2,mule,200000
u-mule-10-3,mule,200000
x-mule-10-0,beneficiary,0
x-burst-11-0,beneficiary,0
x-structuring-11-0,beneficiary,0
x-structuring-11-1,beneficiary,0
x-takeover-11-0,beneficiary,0
u-mule-11-0,mule,200000
u-mule-11-1,mule,200000
u-mule-11-2,mule,200000
u-mule-11-3,mule,200000
x-mule-11-0,beneficiary,0
x-burst-12-0,beneficiary,0
x-burst-12-1,beneficiary,0
x-structuring-12-0,beneficiary,0
x-takeover-12-0,beneficiary,0
u-mule-12-0,mule,200000
u-mule-12-1,mule,200000
u-mule-12-2,mule,200000
u-mule-12-3,mule,200000
x-mule-12-0,beneficiary,0
x-burst-13-0,beneficiary,0
x-burst-13-1,beneficiary,0
x-structuring-13-0,beneficiary,0
x-takeover-13-0,beneficiary,0
u-mule-13-0,mule,200000
u-mule-13-1,mule,200000
u-mule-13-2,mule,200000
u-mule-13-3,mule,200000
x-mule-13-0,beneficiary,0
x-burst-14-0,beneficiary,0
x-structuring-14-0,beneficiary,0
x-takeover-14-0,beneficiary,0
u-mule-14-0,mule,200000
u-mule-14-1,mule,200000
u-mule-14-2,mule,200000
x-mule-14-0,beneficiary,0
